iter	Logloss
0	0.6569389968
1	0.629342621
2	0.603720585
3	0.5815129
4	0.5630377594
5	0.5452834284
6	0.5322931969
7	0.5190777581
8	0.5073351917
9	0.4983038401
10	0.4887431108
11	0.4814917119
12	0.4746181336
13	0.4671067237
14	0.4610181272
15	0.4548021832
16	0.4507487383
17	0.4468021954
18	0.444071452
19	0.4400801134
20	0.4378750532
21	0.4341092754
22	0.4311939538
23	0.4298305068
24	0.4277959284
25	0.4247195732
26	0.4225250189
27	0.4208124277
28	0.4188966882
29	0.4169739942
30	0.4152961707
31	0.413341711
32	0.4121306894
33	0.4104620152
34	0.4091372172
35	0.4080348747
36	0.406557239
37	0.4056819954
38	0.4046035223
39	0.4039437469
40	0.402829747
41	0.40204791
42	0.4015753204
43	0.4005523572
44	0.3996036059
45	0.3991819606
46	0.3985205573
47	0.397529026
48	0.3972914219
49	0.3969966254
50	0.3969258066
51	0.3962690691
52	0.3954697381
53	0.394510031
54	0.3943441315
55	0.3939039589
56	0.3937511111
57	0.3932161836
58	0.392985762
59	0.3925529372
60	0.3918976699
61	0.3917549942
62	0.3914933253
63	0.3910369855
64	0.3905441762
65	0.3904582485
66	0.3900191904
67	0.3895354297
68	0.3894326477
69	0.3892552195
70	0.3888503269
71	0.3884895037
72	0.3884092163
73	0.3881427818
74	0.3876165307
75	0.3869893179
76	0.3864588299
77	0.3858715166
78	0.3854749031
79	0.3854460423
80	0.3854311451
81	0.3854204264
82	0.3854129497
83	0.3852316124
84	0.3851228824
85	0.3849674528
86	0.3849202376
87	0.3844537697
88	0.3844356875
89	0.3844338004
90	0.3844257834
91	0.3839426901
92	0.3838542788
93	0.3832631649
94	0.3828604916
95	0.3828166017
96	0.3825769439
97	0.3821526174
98	0.3821421323
99	0.3821248501
100	0.3819946919
101	0.3817627082
102	0.3816606386
103	0.3816016061
104	0.3812319285
105	0.3807453997
106	0.3807265173
107	0.3806636564
108	0.3802551479
109	0.3801240855
110	0.3800984373
111	0.3797572074
112	0.3796345915
113	0.3794418645
114	0.3791002469
115	0.3787119628
116	0.3785496067
117	0.3785248012
118	0.3785175591
119	0.3784824238
120	0.3780578777
121	0.3780468798
122	0.3780373537
123	0.3775415296
124	0.3775414899
125	0.3773153955
126	0.3773021317
127	0.3771135798
128	0.3768572203
129	0.3766409286
130	0.3765549815
131	0.3765151651
132	0.3758252376
133	0.3757153766
134	0.375499594
135	0.375349902
136	0.3753474223
137	0.3752116646
138	0.3750634234
139	0.3746398219
140	0.3746258251
141	0.3743895093
142	0.374181935
143	0.3741273237
144	0.3735391677
145	0.3732230074
146	0.3731948816
147	0.3730973426
148	0.3727916968
149	0.3726046279
150	0.3725959811
151	0.3725071488
152	0.372263597
153	0.3721863027
154	0.3721669448
155	0.3717887932
156	0.3717685514
157	0.3715217749
158	0.371168383
159	0.3711447818
160	0.3710093645
161	0.3707515928
162	0.3704405666
163	0.3701888593
164	0.3699326348
165	0.3696960984
166	0.3696270336
167	0.3694924322
168	0.3692882983
169	0.3690232391
170	0.3690025618
171	0.3686733833
172	0.3682929979
173	0.3681951734
174	0.3680076415
175	0.3675836424
176	0.3672200338
177	0.3668779415
178	0.3667765652
179	0.3664906191
180	0.3662806609
181	0.3661046269
182	0.3658384434
183	0.3656885079
184	0.3654661212
185	0.3652076362
186	0.3649806533
187	0.3648510506
188	0.3645694664
189	0.3642359246
190	0.3638884258
191	0.3637966449
192	0.3636469144
193	0.3634689137
194	0.3630045074
195	0.3629955951
196	0.362294384
197	0.3619189785
198	0.361480845
199	0.3608930779
200	0.3607360408
201	0.3607020022
202	0.3605641633
203	0.3602521748
204	0.3599449331
205	0.3595494615
206	0.3595256492
207	0.3591805963
208	0.3587903583
209	0.3586273177
210	0.3582759142
211	0.3579199004
212	0.3573378348
213	0.3571408667
214	0.3566738803
215	0.3563686525
216	0.3561445256
217	0.3560780327
218	0.3557023873
219	0.3553283331
220	0.3549611757
221	0.3547020147
222	0.3543863288
223	0.3542923124
224	0.3537318712
225	0.3535357539
226	0.3532161392
227	0.3531355167
228	0.3531300226
229	0.3530051934
230	0.3529219116
231	0.3527195153
232	0.3525595329
233	0.3521631607
234	0.3515713848
235	0.3511475893
236	0.3509899548
237	0.3509266774
238	0.350921524
239	0.3504292289
240	0.3500875502
241	0.3499139739
242	0.3494636384
243	0.3492987057
244	0.3492462873
245	0.3491953376
246	0.3489966337
247	0.348709467
248	0.3484059375
249	0.3483178388
