iter	Passed	Remaining
326	1913	3937
327	1919	3933
328	1925	3926
329	1931	3922
330	1938	3917
331	1943	3910
332	1949	3905
333	1955	3899
334	1962	3896
335	1968	3889
336	1975	3887
337	1982	3883
338	1991	3883
339	1998	3879
340	2006	3877
341	2016	3879
342	2024	3877
343	2033	3877
344	2047	3887
345	2060	3894
346	2067	3890
347	2076	3890
348	2084	3888
349	2092	3885
350	2100	3883
351	2108	3881
352	2115	3878
353	2124	3877
354	2130	3870
355	2137	3865
356	2141	3857
357	2149	3854
358	2155	3848
359	2161	3842
360	2167	3837
361	2175	3833
362	2179	3824
363	2186	3821
364	2191	3813
365	2198	3808
366	2207	3808
367	2213	3801
368	2218	3793
369	2222	3784
370	2228	3778
371	2233	3769
372	2237	3761
373	2241	3752
374	2246	3743
375	2252	3738
376	2257	3730
377	2261	3720
378	2266	3713
379	2270	3704
380	2275	3696
381	2281	3690
382	2288	3686
383	2292	3677
384	2296	3668
385	2300	3658
386	2306	3653
387	2310	3645
388	2315	3637
389	2321	3630
390	2325	3622
391	2329	3612
392	2333	3603
393	2336	3594
394	2341	3586
395	2346	3578
396	2350	3570
397	2357	3565
398	2362	3559
399	2367	3550
400	2371	3542
401	2375	3534
402	2380	3526
403	2385	3519
404	2391	3512
405	2395	3504
406	2399	3495
407	2403	3487
408	2408	3479
409	2413	3472
410	2417	3464
411	2422	3456
412	2426	3448
413	2430	3440
414	2435	3432
415	2439	3424
416	2444	3417
417	2449	3410
418	2454	3402
419	2458	3395
420	2462	3386
421	2466	3378
422	2470	3369
423	2474	3362
424	2480	3356
425	2484	3348
426	2488	3339
427	2493	3331
428	2497	3323
429	2501	3315
430	2505	3307
431	2509	3299
432	2514	3293
433	2519	3285
434	2522	3276
435	2527	3269
436	2531	3261
437	2536	3254
438	2541	3247
439	2546	3240
440	2550	3233
441	2555	3226
442	2560	3218
443	2563	3210
444	2568	3203
445	2572	3195
446	2577	3188
447	2582	3182
448	2588	3176
449	2594	3170
450	2599	3163
451	2604	3157
452	2610	3152
453	2615	3144
454	2620	3138
455	2625	3132
456	2630	3125
457	2636	3119
458	2639	3111
459	2643	3103
460	2648	3096
461	2652	3088
462	2656	3081
463	2660	3073
464	2663	3064
465	2671	3061
466	2675	3053
467	2679	3046
468	2684	3039
469	2688	3031
470	2692	3023
471	2697	3017
472	2701	3010
473	2707	3004
474	2714	2999
475	2719	2993
476	2724	2986
477	2729	2981
478	2737	2977
479	2744	2972
480	2749	2966
481	2755	2961
482	2760	2955
483	2767	2950
484	2772	2943
485	2778	2938
486	2783	2932
487	2788	2925
488	2792	2918
489	2802	2916
490	2809	2912
491	2813	2904
492	2817	2897
493	2821	2890
494	2827	2884
495	2832	2877
496	2836	2871
497	2842	2865
498	2847	2859
499	2851	2851
500	2855	2844
501	2859	2837
502	2864	2830
503	2869	2823
504	2873	2816
505	2879	2811
506	2883	2804
507	2889	2798
508	2893	2791
509	2898	2784
510	2902	2777
511	2907	2771
512	2912	2764
513	2917	2758
514	2921	2751
515	2926	2745
516	2931	2738
517	2935	2731
518	2940	2725
519	2944	2718
520	2949	2711
521	2955	2706
522	2960	2699
523	2965	2693
524	2969	2686
525	2974	2680
526	2978	2673
527	2983	2667
528	2989	2661
529	2994	2655
530	2998	2648
531	3002	2641
532	3006	2634
533	3010	2627
534	3014	2620
535	3018	2613
536	3022	2606
537	3027	2599
538	3031	2592
539	3035	2586
540	3039	2578
541	3043	2571
542	3047	2564
543	3050	2557
544	3054	2550
545	3058	2543
546	3063	2536
547	3069	2531
548	3074	2525
549	3079	2519
550	3084	2513
551	3090	2508
552	3095	2502
553	3099	2495
554	3105	2489
555	3110	2483
556	3114	2477
557	3118	2470
558	3123	2464
559	3127	2457
560	3132	2451
561	3136	2444
562	3140	2437
563	3144	2430
564	3148	2424
565	3154	2418
566	3159	2412
567	3164	2407
568	3169	2401
569	3174	2394
570	3179	2389
571	3183	2382
572	3189	2377
573	3194	2370
574	3199	2364
575	3204	2358
576	3209	2353
577	3213	2346
578	3218	2340
579	3224	2334
580	3231	2330
581	3237	2325
582	3241	2318
583	3245	2312
584	3250	2306
585	3256	2300
586	3261	2294
587	3267	2289
588	3272	2283
589	3276	2277
590	3280	2270
591	3286	2264
592	3292	2259
593	3298	2254
594	3302	2248
595	3307	2241
596	3312	2236
597	3318	2230
598	3322	2224
599	3327	2218
600	3332	2212
601	3336	2205
602	3340	2199
603	3345	2193
604	3350	2187
605	3356	2182
606	3361	2176
607	3366	2170
608	3371	2164
609	3375	2158
610	3384	2155
611	3389	2149
612	3394	2143
613	3399	2137
614	3403	2130
615	3407	2124
616	3412	2118
617	3417	2112
618	3422	2106
619	3426	2100
620	3430	2093
621	3434	2087
622	3439	2081
623	3442	2074
624	3447	2068
625	3451	2061
626	3455	2055
627	3459	2049
628	3463	2042
629	3467	2036
630	3471	2030
631	3475	2023
632	3484	2020
633	3489	2014
634	3494	2008
635	3498	2002
636	3502	1995
637	3506	1989
638	3514	1985
639	3520	1980
640	3524	1974
641	3528	1967
642	3532	1961
643	3537	1955
644	3541	1949
645	3546	1943
646	3553	1938
647	3557	1932
648	3563	1927
649	3569	1921
650	3573	1915
651	3578	1909
652	3583	1904
653	3589	1899
654	3595	1894
655	3601	1888
656	3607	1883
657	3612	1877
658	3619	1872
659	3623	1866
660	3628	1860
661	3632	1854
662	3637	1849
663	3643	1843
664	3648	1837
665	3654	1832
666	3658	1826
667	3662	1820
668	3667	1814
669	3671	1808
670	3676	1802
671	3682	1797
672	3689	1792
673	3694	1786
674	3698	1780
675	3703	1774
676	3707	1768
677	3712	1763
678	3717	1757
679	3721	1751
680	3726	1745
681	3730	1739
682	3733	1733
683	3738	1726
684	3742	1721
685	3749	1716
686	3753	1710
687	3757	1704
688	3761	1698
689	3766	1692
690	3771	1686
691	3776	1680
692	3781	1675
693	3786	1669
694	3791	1663
695	3795	1657
696	3801	1652
697	3806	1646
698	3810	1641
699	3816	1635
700	3821	1630
701	3826	1624
702	3831	1618
703	3836	1612
704	3841	1607
705	3846	1601
706	3850	1595
707	3854	1589
708	3858	1583
709	3863	1578
710	3867	1572
711	3872	1566
712	3876	1560
713	3881	1554
714	3884	1548
715	3889	1542
716	3893	1536
717	3897	1530
718	3904	1525
719	3908	1520
720	3914	1514
721	3919	1509
722	3923	1503
723	3927	1497
724	3933	1492
725	3937	1486
726	3944	1481
727	3949	1475
728	3954	1470
729	3959	1464
730	3963	1458
731	3968	1452
732	3973	1447
733	3979	1442
734	3983	1436
735	3987	1430
736	3991	1424
737	3995	1418
738	4000	1412
739	4004	1407
740	4009	1401
741	4014	1395
742	4018	1390
743	4022	1384
744	4027	1378
745	4032	1372
746	4036	1367
747	4040	1361
748	4045	1355
749	4049	1349
750	4053	1343
751	4058	1338
752	4063	1332
753	4069	1327
754	4074	1322
755	4079	1316
756	4083	1310
757	4089	1305
758	4093	1299
759	4097	1294
760	4102	1288
761	4108	1283
762	4111	1277
763	4115	1271
764	4120	1265
765	4123	1259
766	4128	1254
767	4132	1248
768	4137	1242
769	4142	1237
770	4148	1232
771	4152	1226
772	4158	1221
773	4164	1215
774	4169	1210
775	4176	1205
776	4181	1200
777	4187	1195
778	4193	1189
779	4198	1184
780	4202	1178
781	4206	1172
782	4210	1166
783	4213	1160
784	4218	1155
785	4223	1149
786	4228	1144
787	4232	1138
788	4238	1133
789	4243	1127
790	4248	1122
791	4252	1116
792	4257	1111
793	4262	1105
794	4266	1100
795	4270	1094
796	4274	1088
797	4278	1082
798	4282	1077
799	4286	1071
800	4293	1066
801	4297	1061
802	4302	1055
803	4306	1049
804	4310	1044
805	4314	1038
806	4318	1032
807	4322	1027
808	4326	1021
809	4330	1015
810	4335	1010
811	4339	1004
812	4345	999
813	4349	993
814	4353	988
815	4357	982
816	4361	976
817	4366	971
818	4371	966
819	4375	960
820	4379	954
821	4382	949
822	4387	943
823	4391	937
824	4396	932
825	4401	927
826	4406	921
827	4410	916
828	4415	910
829	4420	905
830	4424	899
831	4428	894
832	4433	888
833	4437	883
834	4440	877
835	4444	871
836	4448	866
837	4453	860
838	4458	855
839	4463	850
840	4468	844
841	4472	839
842	4475	833
843	4479	828
844	4484	822
845	4490	817
846	4493	811
847	4497	806
848	4501	800
849	4505	795
850	4510	789
851	4514	784
852	4519	778
853	4523	773
854	4528	768
855	4533	762
856	4538	757
857	4542	751
858	4547	746
859	4551	741
860	4557	735
861	4562	730
862	4569	725
863	4574	720
864	4578	714
865	4583	709
866	4591	704
867	4597	699
868	4602	693
869	4606	688
870	4610	682
871	4616	677
872	4621	672
873	4627	667
874	4633	661
875	4637	656
876	4642	651
877	4651	646
878	4656	640
879	4662	635
880	4666	630
881	4671	625
882	4676	619
883	4680	614
884	4685	608
885	4690	603
886	4695	598
887	4699	592
888	4703	587
889	4707	581
890	4712	576
891	4717	571
892	4722	565
893	4727	560
894	4731	555
895	4735	549
896	4740	544
897	4747	539
898	4752	533
899	4757	528
900	4760	523
901	4764	517
902	4769	512
903	4773	506
904	4778	501
905	4783	496
906	4787	490
907	4792	485
908	4796	480
909	4800	474
910	4805	469
911	4810	464
912	4815	458
913	4820	453
914	4824	448
915	4828	442
916	4832	437
917	4835	431
918	4841	426
919	4845	421
920	4850	416
921	4856	410
922	4860	405
923	4864	400
924	4869	394
925	4873	389
926	4878	384
927	4884	378
928	4889	373
929	4893	368
930	4898	363
931	4901	357
932	4906	352
933	4912	347
934	4917	341
935	4922	336
936	4925	331
937	4931	325
938	4936	320
939	4942	315
940	4946	310
941	4951	304
942	4956	299
943	4961	294
944	4966	289
945	4971	283
946	4977	278
947	4982	273
948	4987	268
949	4991	262
950	4995	257
951	4999	252
952	5004	246
953	5008	241
954	5014	236
955	5019	231
956	5024	225
957	5028	220
958	5032	215
959	5036	209
960	5041	204
961	5046	199
962	5050	194
963	5054	188
964	5058	183
965	5062	178
966	5067	172
967	5071	167
968	5076	162
969	5081	157
970	5085	151
971	5089	146
972	5093	141
973	5097	136
974	5101	130
975	5106	125
976	5111	120
977	5115	115
978	5119	109
979	5122	104
980	5127	99
981	5134	94
982	5138	88
983	5143	83
984	5149	78
985	5155	73
986	5160	67
987	5168	62
988	5172	57
989	5176	52
990	5180	47
991	5184	41
992	5188	36
993	5192	31
994	5196	26
995	5201	20
996	5206	15
997	5210	10
998	5214	5
999	5217	0
